Attributes,Average,STD,Coef. Variance,Min,Max,Range,IQR,MAPE
microphone,108.67,102.19,0.94,0.0,538.0,538.0,155.0,79.05
gas,368.49,58.09,0.16,0.0,545.0,545.0,67.0,12.49
wind_direction,167.82,140.42,0.84,0.0,360.0,360.0,309.0,78.4
line_detect_status,0.95,0.21,0.22,0.0,1.0,1.0,0.0,9.3
vibration,525.06,612.19,1.17,0.0,2941.0,2941.0,974.25,99.91
wind_speed,24.56,23.18,0.94,0.0,250.99,250.99,38.84,75.11
ambient_temperature,28.82,6.47,0.22,0.0,50.9,50.9,6.9,16.69
gearbox_temperature,32.07,9.85,0.31,0.0,60.7,60.7,12.6,23.9
nacelle_temperature,33.57,7.25,0.22,0.0,58.4,58.4,9.4,16.73
voltage,1.61,0.88,0.55,0.0,3.17,3.17,1.73,51.26
current (mA),0.29,0.12,0.41,0.0,0.89,0.89,0.14,30.98
power (mW),0.45,0.33,0.72,0.0,2.47,2.47,0.46,58.67
