PC_Datetime,ESP1_Millis,ESP2_Millis,Wind_Direction,Wind_Speed_kmh,Temperature_1,Temperature_2,Temperature_3,Turbine_Voltage,Turbine_Current,Turbine_Power,Gas_Value,Line_Sensor,Sound_Level,Vibration_Value
2026-05-07 19:29:05,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-07 19:29:06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2026-05-07 19:29:07,1847,1670,50,92.63,21.60,22.60,24.50,2.39,0.14,0.34,308,1,44,754
2026-05-07 19:29:08,2849,2669,51,50.80,21.60,22.60,24.50,2.39,0.00,0.00,304,1,14,0
2026-05-07 19:29:09,3924,3669,50,44.82,21.60,22.60,24.80,2.37,0.25,0.59,309,1,56,193
2026-05-07 19:29:10,4925,4669,50,50.80,21.60,22.60,24.80,2.27,0.23,0.52,301,1,102,430
2026-05-07 19:29:11,6000,5669,50,41.83,21.60,22.60,24.80,0.97,0.08,0.08,305,1,151,774
2026-05-07 19:29:12,7001,6669,51,32.87,21.60,22.60,24.80,0.46,0.40,0.18,295,1,177,889
2026-05-07 19:29:13,8077,7669,50,26.89,21.60,22.60,24.80,0.54,0.14,0.08,309,1,224,1267
2026-05-07 19:29:14,9078,8669,50,26.89,21.60,22.60,24.80,1.42,0.26,0.37,304,1,279,1564
2026-05-07 19:29:15,10153,9669,51,38.84,21.60,22.60,25.30,1.54,0.00,0.00,311,1,271,1501
2026-05-07 19:29:16,11154,10669,50,44.82,21.60,22.60,25.30,0.21,0.24,0.05,304,1,315,1712
2026-05-07 19:29:17,12229,11669,50,44.82,21.60,22.60,25.30,2.33,0.33,0.76,308,1,325,1745
2026-05-07 19:29:18,13230,12669,50,50.80,21.60,22.60,25.30,2.34,0.30,0.71,299,1,322,1664
2026-05-07 19:29:19,14305,13669,50,50.80,21.60,22.60,25.30,2.38,0.00,0.00,311,1,322,1699
2026-05-07 19:29:20,15306,14669,50,53.78,21.60,22.60,25.30,2.16,0.14,0.29,310,1,353,1879
2026-05-07 19:29:21,15306,15669,50,53.78,21.60,22.60,25.30,2.16,0.14,0.29,310,1,317,1600
2026-05-07 19:29:22,16899,17195,51,56.77,21.60,22.60,25.30,0.51,0.25,0.12,245,1,128,684
2026-05-07 19:29:23,17900,18195,51,26.89,21.60,22.60,25.30,0.47,0.20,0.09,294,1,176,1005
2026-05-07 19:29:24,18975,19195,50,20.92,21.60,22.60,25.80,0.50,0.00,0.00,315,1,213,1182
2026-05-07 19:29:25,19976,20195,50,20.92,21.60,22.60,25.80,0.45,0.14,0.06,336,1,232,1250
2026-05-07 19:29:26,21051,21195,50,20.92,21.60,22.60,25.80,2.10,0.14,0.29,315,1,273,1450
2026-05-07 19:29:27,22052,22195,50,23.90,21.60,22.60,25.80,1.20,0.08,0.10,291,1,284,1787
2026-05-07 19:29:28,23127,23195,50,17.93,21.60,22.60,25.80,0.55,0.00,0.00,310,0,336,1760
2026-05-07 19:29:29,24128,24195,50,20.92,21.60,22.60,25.80,0.47,0.24,0.11,302,1,331,1682
2026-05-07 19:29:30,25203,25195,50,17.93,21.60,22.60,25.80,1.16,0.14,0.16,260,1,328,1649
2026-05-07 19:29:31,26204,26195,50,29.88,21.60,22.60,25.80,1.21,0.19,0.23,304,1,321,1617
2026-05-07 19:29:32,27279,27195,50,35.86,21.60,22.60,25.80,2.39,0.21,0.49,298,1,295,1426
2026-05-07 19:29:33,28280,28195,50,44.82,21.60,22.60,25.80,2.34,0.19,0.44,304,1,252,1328
2026-05-07 19:29:34,29355,29195,50,44.82,21.70,22.60,26.00,2.32,0.19,0.44,316,1,226,1136
2026-05-07 19:29:35,30356,30195,50,50.80,21.70,22.60,26.00,2.42,0.16,0.38,300,0,211,1031
2026-05-07 19:29:36,31431,31195,50,47.81,21.70,22.60,26.20,2.34,0.00,0.00,305,1,195,765
2026-05-07 19:29:37,31431,32195,50,47.81,21.70,22.60,26.20,2.34,0.00,0.00,305,1,167,603
2026-05-07 19:29:38,33014,32195,52,62.75,21.70,22.60,26.20,2.34,0.15,0.35,279,1,167,603
2026-05-07 19:29:39,34089,33973,50,44.82,21.70,22.60,26.20,2.38,0.15,0.37,304,1,42,0
2026-05-07 19:29:40,35090,34973,50,47.81,21.70,22.60,26.20,2.40,0.32,0.78,314,1,35,0
2026-05-07 19:29:41,36165,35973,50,47.81,21.70,22.60,26.20,2.39,0.00,0.00,308,1,42,0
2026-05-07 19:29:42,37166,36973,50,50.80,21.70,22.60,26.20,2.39,0.22,0.53,299,1,30,0
2026-05-07 19:29:43,38241,37973,51,47.81,21.70,22.60,26.20,2.43,0.28,0.69,311,1,16,0
2026-05-07 19:29:44,39242,38973,50,53.78,21.70,22.60,26.20,2.47,0.21,0.51,301,1,14,0
2026-05-07 19:29:45,40317,39973,50,50.80,21.70,22.60,26.70,2.41,0.00,0.00,311,1,11,0
2026-05-07 19:29:46,41318,40973,50,53.78,21.70,22.60,26.70,2.38,0.28,0.67,301,1,7,0
2026-05-07 19:29:47,42393,41973,50,50.80,21.70,22.60,26.70,2.41,0.23,0.55,304,1,7,0
2026-05-07 19:29:48,43394,42973,50,53.78,21.70,22.60,26.70,2.39,0.18,0.42,300,1,0,0
2026-05-07 19:29:49,44469,43973,50,50.80,21.70,22.60,26.70,2.41,0.00,0.00,301,1,5,0
2026-05-07 19:29:50,45470,44973,50,53.78,21.70,22.60,26.70,2.37,0.25,0.58,303,1,5,0
2026-05-07 19:29:51,46545,45973,50,44.82,21.70,22.60,26.70,2.36,0.19,0.44,305,1,37,42
2026-05-07 19:29:52,47546,46973,50,47.81,21.70,22.60,26.70,2.34,0.17,0.40,304,1,50,192
2026-05-07 19:29:53,47546,47973,50,47.81,21.70,22.60,26.70,2.34,0.17,0.40,304,1,53,240
2026-05-07 19:29:54,49278,48973,50,74.70,21.70,22.60,26.70,2.34,0.34,0.80,304,1,89,387
2026-05-07 19:29:55,50279,48973,50,44.82,21.70,22.60,26.70,2.30,0.21,0.49,297,1,89,387
2026-05-07 19:29:56,51354,50767,47,35.86,21.70,22.60,27.10,2.37,0.21,0.50,302,1,306,1598
2026-05-07 19:29:57,52355,51767,50,47.81,21.70,22.60,27.10,2.34,0.21,0.48,301,1,293,1459
2026-05-07 19:29:58,53430,52767,50,50.80,21.70,22.60,27.10,2.22,0.00,0.00,304,1,261,1210
2026-05-07 19:29:59,54431,53767,51,53.78,21.70,22.60,27.10,2.17,0.26,0.56,292,1,265,1275
2026-05-07 19:30:00,55506,54767,50,53.78,21.70,22.60,27.10,2.08,0.00,0.00,310,1,272,1264
2026-05-07 19:30:01,56507,55767,48,56.77,21.70,22.60,27.10,2.31,0.14,0.33,293,1,275,1287
2026-05-07 19:30:02,57582,56767,50,53.78,21.70,22.60,27.10,2.33,0.16,0.37,306,1,247,1140
2026-05-07 19:30:03,58583,57767,50,56.77,21.70,22.60,27.10,2.32,0.08,0.19,297,1,219,982
2026-05-07 19:30:04,59658,58767,50,53.78,21.70,22.60,27.60,2.35,0.09,0.21,304,1,241,1104
2026-05-07 19:30:05,60659,59767,49,53.78,21.70,22.60,27.60,2.28,0.34,0.77,295,1,242,1142
2026-05-07 19:30:06,60659,60767,49,53.78,21.70,22.60,27.60,2.28,0.34,0.77,295,1,247,1158
2026-05-07 19:30:07,61734,61767,49,44.82,21.70,22.60,27.60,2.34,0.23,0.53,291,1,249,1144
2026-05-07 19:30:08,62735,62767,49,53.78,21.70,22.60,27.60,2.34,0.25,0.57,303,1,259,1218
2026-05-07 19:30:09,63810,63767,50,50.80,21.70,22.60,27.60,2.39,0.18,0.42,303,1,238,1131
2026-05-07 19:30:10,65373,64767,50,68.72,21.70,22.60,27.60,2.08,0.18,0.37,301,1,257,1216
2026-05-07 19:30:11,66448,65767,50,38.84,21.70,22.60,27.60,2.26,0.14,0.33,309,1,272,1345
2026-05-07 19:30:12,67449,67361,50,41.83,21.70,22.60,27.60,2.21,0.14,0.30,277,1,44,0
2026-05-07 19:30:13,68524,68361,50,44.82,21.70,22.60,27.70,0.00,0.18,0.00,307,1,43,0
2026-05-07 19:30:14,69525,69361,50,53.78,21.70,22.60,27.70,1.93,0.19,0.37,301,1,52,0
2026-05-07 19:30:15,70600,70361,52,47.81,21.70,22.60,28.00,2.38,0.25,0.58,318,1,64,36
2026-05-07 19:30:16,71601,71361,49,56.77,21.70,22.60,28.00,2.37,0.18,0.43,295,1,84,147
2026-05-07 19:30:17,72676,72361,50,53.78,21.70,22.60,28.00,2.39,0.14,0.33,304,1,105,261
2026-05-07 19:30:18,73677,73361,50,56.77,21.70,22.60,28.00,2.30,0.21,0.47,310,1,137,486
2026-05-07 19:30:19,73677,74361,50,56.77,21.70,22.60,28.00,2.30,0.21,0.47,310,1,165,647
2026-05-07 19:30:20,74752,75361,50,50.80,21.80,22.60,28.50,2.36,0.20,0.48,256,1,214,930
2026-05-07 19:30:21,75753,76361,50,56.77,21.80,22.60,28.50,2.23,0.00,0.00,300,1,246,1152
2026-05-07 19:30:22,76828,77361,50,50.80,21.80,22.60,28.90,2.34,0.15,0.36,304,1,297,1443
2026-05-07 19:30:23,77829,78361,49,56.77,21.80,22.60,28.90,2.35,0.27,0.63,312,1,334,1694
2026-05-07 19:30:24,78904,79361,50,50.80,21.80,22.60,29.70,2.36,0.37,0.87,304,1,367,1856
2026-05-07 19:30:25,79906,80361,50,53.78,21.80,22.60,29.70,2.33,0.30,0.69,298,1,341,2070
2026-05-07 19:30:26,81616,81361,50,86.65,21.90,22.60,30.80,2.03,0.20,0.40,305,1,355,1969
2026-05-07 19:30:27,82617,82361,50,56.77,21.90,22.60,30.80,2.31,0.20,0.45,299,1,282,1535
2026-05-07 19:30:28,83692,82361,50,53.78,22.00,22.60,32.80,2.36,0.14,0.32,291,1,282,1535
2026-05-07 19:30:29,84693,84159,50,53.78,22.00,22.60,32.80,2.30,0.18,0.40,291,1,321,1813
2026-05-07 19:30:30,84693,85159,50,53.78,22.00,22.60,32.80,2.30,0.18,0.40,291,1,272,1472
2026-05-07 19:30:31,85768,86159,50,41.83,22.10,22.60,34.20,1.33,0.16,0.22,307,1,198,1036
2026-05-07 19:30:32,86770,87159,50,50.80,22.10,22.60,34.20,2.03,0.00,0.00,297,1,59,535
2026-05-07 19:30:33,87845,88159,50,50.80,22.20,22.60,35.60,1.85,0.25,0.47,304,1,16,0
2026-05-07 19:30:34,88846,89159,49,47.81,22.20,22.60,35.60,0.39,0.22,0.09,299,1,0,0
2026-05-07 19:30:35,89921,90159,49,29.88,22.30,22.60,37.40,0.48,0.20,0.10,304,1,0,0
