Model,Acc.,Prec.,Rec.,F1-Sc.,Log Loss,Bri. Err.,ROC-AUC,FPR,FNR,OP
LightGBM,98.37%,98.75%,99.58%,99.16%,10.27%,1.58%,98.95%,37.50%,0.42%,0.95
CatBoost,98.17%,98.54%,99.58%,99.06%,5.30%,1.50%,98.66%,43.75%,0.42%,0.94
XGBoost,97.96%,98.34%,99.58%,98.95%,5.81%,1.70%,98.87%,50.00%,0.42%,0.94
Stacking,97.96%,98.34%,99.58%,98.95%,6.17%,1.53%,98.86%,50.00%,0.42%,0.94
RandomForest,97.76%,98.33%,99.37%,98.85%,5.60%,1.55%,97.70%,50.00%,0.63%,0.93
DecisionTree,98.37%,99.37%,98.95%,99.16%,58.73%,1.63%,90.10%,18.75%,1.05%,0.92
MLP,97.76%,97.74%,100.00%,98.86%,8.56%,1.84%,91.76%,68.75%,0.00%,0.90
KNN,96.95%,97.33%,99.58%,98.44%,21.52%,2.60%,89.68%,81.25%,0.42%,0.88
SVM,96.74%,96.74%,100.00%,98.34%,10.55%,2.69%,93.86%,100.00%,0.00%,0.87
Logistic,96.74%,96.74%,100.00%,98.34%,11.27%,2.84%,86.99%,100.00%,0.00%,0.86
NaiveBayes,26.48%,100.00%,24.00%,38.71%,400.04%,68.63%,83.57%,0.00%,76.00%,0.51
