iter	Passed	Remaining
0	7	3905
1	13	3432
2	19	3176
3	25	3154
4	48	4789
5	56	4676
6	74	5213
7	88	5443
8	93	5117
9	109	5383
10	130	5785
11	136	5552
12	147	5534
13	159	5532
14	168	5443
15	180	5459
16	185	5282
17	194	5215
18	203	5163
19	215	5164
20	228	5209
21	238	5177
22	249	5175
23	261	5176
24	272	5168
25	283	5173
26	294	5154
27	310	5238
28	325	5293
29	335	5255
30	349	5290
31	360	5276
32	366	5185
33	375	5144
34	381	5074
35	390	5039
36	405	5072
37	420	5115
38	437	5167
39	449	5164
40	454	5086
41	463	5054
42	473	5027
43	481	4987
44	484	4895
45	491	4853
46	499	4811
47	507	4777
48	514	4735
49	522	4705
50	531	4677
51	537	4626
52	546	4608
53	553	4572
54	561	4540
55	569	4513
56	577	4491
57	585	4464
58	591	4423
59	597	4379
60	602	4335
61	607	4293
62	613	4252
63	618	4211
64	629	4212
65	639	4205
66	649	4198
67	656	4170
68	664	4150
69	671	4126
70	678	4098
71	685	4077
72	693	4056
73	701	4038
74	706	4005
75	714	3985
76	721	3963
77	729	3946
78	740	3944
79	749	3932
80	757	3917
81	767	3910
82	781	3924
83	798	3952
84	815	3982
85	827	3982
86	838	3981
87	845	3960
88	855	3951
89	862	3930
90	876	3938
91	891	3954
92	899	3937
93	906	3913
94	916	3906
95	924	3888
96	931	3871
97	939	3853
98	946	3834
99	955	3820
100	969	3830
101	981	3829
102	992	3827
103	1007	3835
104	1013	3810
105	1018	3784
106	1025	3765
107	1032	3748
108	1041	3735
109	1048	3718
110	1053	3693
111	1063	3684
112	1075	3683
113	1080	3659
114	1083	362114	1241	4157
115	1254	4153
116	1262	4131
117	1271	4115
118	1280	4100
119	1303	4126
120	1318	4128
121	1331	4126
122	1340	4108
123	1349	4092
124	1354	4064
125	1359	4036
126	1368	4019
127	1377	4003
128	1388	3992
129	1398	3979
130	1406	3960
131	1415	3947
132	1428	3940
133	1437	3926
134	1445	3908
135	1452	3886
136	1458	3865
137	1465	3843
138	1468	3813
139	1481	3809
140	1492	3799
141	1501	3785
142	1513	3778
143	1525	3770
144	1532	3752
145	1540	3735
146	1545	3712
147	1552	3693
148	1559	3672
149	1565	3652
150	1571	3633
151	1579	3615
152	1585	3596
153	1593	3580
154	1601	3563
155	1608	3547
156	1616	3531
157	1625	3517
158	1633	3503
159	1644	3493
160	1653	3480
161	1660	3465
162	1675	3463
163	1686	3455
164	1692	3437
165	1704	3429
166	1715	3421
167	1724	3407
168	1733	3394
169	1741	3379
170	1747	3362
171	1757	3350
172	1761	3330
173	1769	3315
174	1774	3295
175	1783	3283
176	1792	3270
177	1799	3255
178	1807	3240
179	1814	3225
180	1822	3211
181	1830	3198
182	1838	3184
183	1846	3171
184	1858	3165
185	1870	3157
186	1882	3150
187	1891	3138
188	1901	3129
189	1907	3112
190	1918	3103
191	1924	3087
192	1931	3072
193	1937	3056
194	1943	3039
195	1947	3020
196	1952	3002
197	1957	2985
198	1962	2968
199	1966	2950
200	1972	2933
201	1977	2917
202	1981	2899
203	1986	2882
204	1990	2864
205	1995	2848
206	1999	2830
207	2004	2814
208	2009	2797
209	2013	2781
210	2018	2765
211	2023	2748
212	2028	2732
213	2034	2718
214	2041	2705
215	2046	2691
216	2052	2677
217	2060	2665
218	2065	2650
219	2072	2637
220	2077	2622
221	2081	2607
222	2086	2591
223	2090	2576
224	2094	2559
225	2098	2544
226	2103	2529
227	2108	2515
228	2111	2499
229	2116	2484
230	2120	2469
